frame,time_s,terrain_mean,splash_pixels,stem_color_pixels,upper_stem_pixels,stem_top_y
546,9.1,32.51,1591,13239,12512,280.0
547,9.116667,32.515,1560,13220,12502,280.0
548,9.133333,32.519,1577,13175,12433,280.0
549,9.15,32.524,1601,13164,12459,280.0
550,9.166667,32.65,1643,13415,12690,280.0
551,9.183333,32.587,1583,13166,12440,280.0
552,9.2,32.571,1680,13150,12382,280.0
553,9.216667,32.5,1554,13126,12357,280.0
554,9.233333,32.497,1474,13094,12319,280.0
555,9.25,32.488,1467,13132,12336,280.0
556,9.266667,32.466,1452,13185,12345,280.0
557,9.283333,32.442,1465,13124,12308,280.0
558,9.3,32.421,1458,13132,12332,280.0
559,9.316667,32.38,1473,13172,12359,280.0
560,9.333333,32.348,1494,13160,12351,280.0
561,9.35,32.322,1393,13147,12341,280.0
562,9.366667,32.292,1405,13107,12288,280.0
563,9.383333,32.256,1384,13094,12286,280.0
564,9.4,32.215,1430,13043,12214,280.0
565,9.416667,32.187,1510,13171,12283,280.0
566,9.433333,32.175,1406,13173,12272,280.0
567,9.45,32.164,1434,13069,12190,280.0
568,9.466667,32.16,1429,13044,12170,280.0
569,9.483333,32.156,1456,13095,12199,280.0
570,9.5,32.166,1440,13103,12182,280.0
571,9.516667,32.159,1439,13124,12229,280.0
572,9.533333,32.155,1421,13111,12209,280.0
573,9.55,32.163,1468,13189,12245,280.0
574,9.566667,32.153,1340,13132,12152,280.0
575,9.583333,32.157,1376,13092,12173,280.0
576,9.6,32.147,1401,13131,12231,280.0
577,9.616667,32.165,1410,13128,12222,280.0
578,9.633333,32.153,1403,13160,12251,280.0
579,9.65,32.141,1410,13185,12275,280.0
580,9.666667,32.124,1357,13101,12224,280.0
581,9.683333,32.086,1386,13184,12302,280.0
582,9.7,32.129,1355,13133,12259,280.0
583,9.716667,32.182,1392,13179,12293,280.0
584,9.733333,32.195,1335,13307,12334,280.0
585,9.75,32.181,1380,13185,12252,280.0
586,9.766667,32.209,1361,13199,12254,280.0
587,9.783333,32.34,1384,13176,12196,280.0
588,9.8,32.439,1386,13250,12267,280.0
589,9.816667,32.551,1392,13237,12239,280.0
590,9.833333,32.478,1353,13344,12334,280.0
591,9.85,32.431,1354,13360,12342,280.0
592,9.866667,32.436,1403,13364,12354,280.0
593,9.883333,32.437,1399,13346,12354,280.0
594,9.9,32.43,1431,13393,12404,280.0
595,9.916667,32.434,1454,13373,12377,280.0
596,9.933333,32.426,1381,13384,12352,280.0
597,9.95,32.421,1383,13353,12351,280.0
598,9.966667,32.424,1429,13419,12415,280.0
599,9.983333,32.427,1392,13403,12382,280.0
600,10.0,32.39,1252,13429,12390,280.0
601,10.016667,32.388,1251,13381,12340,280.0
602,10.033333,32.395,1256,13429,12393,280.0
603,10.05,32.404,1306,13338,12304,280.0
604,10.066667,32.396,1306,13303,12227,280.0
605,10.083333,32.403,1246,13350,12290,280.0
606,10.1,32.404,1224,13461,12374,280.0
607,10.116667,32.394,1211,13476,12396,280.0
608,10.133333,32.403,1190,13447,12370,280.0
609,10.15,32.375,1197,13475,12393,280.0
610,10.166667,32.375,1208,13459,12387,280.0
611,10.183333,32.374,1192,13480,12396,280.0
612,10.2,32.374,1189,13453,12375,280.0
613,10.216667,32.374,1192,13517,12384,280.0
614,10.233333,32.374,1196,13518,12387,280.0
615,10.25,32.373,1193,13507,12370,280.0
616,10.266667,32.377,1203,13541,12405,280.0
617,10.283333,32.376,1188,13522,12383,280.0
618,10.3,32.377,1181,13545,12399,280.0
619,10.316667,32.378,1196,13557,12406,280.0
620,10.333333,32.378,1199,13506,12381,280.0
621,10.35,32.55,1182,13631,12502,280.0
622,10.366667,32.497,1179,13626,12499,280.0
623,10.383333,32.454,1185,13602,12461,280.0
624,10.4,32.437,1173,13571,12444,280.0
625,10.416667,32.652,1274,13755,12655,280.0
